Damage,Time
40,5.217709
80,5.277707
120,6.698198
160,6.77862
200,8.199425
240,8.258988
280,9.718703
320,9.778894
360,12.69743
400,14.19856
440,15.69742
480,17.17938
520,24.6999
560,24.73842
600,26.17798
640,26.23436
40,26.67761
80,26.73852
680,27.67958
720,27.75951
120,28.3543
160,28.41886
760,29.1779
800,29.25887
200,31.27679
240,31.31764
840,33.25801
280,36.13982
880,36.97786
920,37.01747
960,37.03867
320,37.95672
360,38.07819
1000,38.47831
1040,38.49778
1080,38.6372
1120,39.99952
400,39.99952
1160,40.01985
440,42.01889
480,42.09933
1200,51.71973
520,52.89981
1240,53.25587
1280,54.6985
560,55.25809
1320,56.21646
1360,57.81826
600,58.79688
1400,61.23503
1440,61.33849
1480,62.75545
1520,62.79932
640,66.91807
680,69.2973
1560,70.63658
1600,70.69688
720,71.17738
760,71.17738
1640,72.17918
1680,72.21825
1720,73.67651
1760,73.73816
1800,75.41984
800,76.3193
1840,76.91983
1880,78.45793
1920,78.55843
1960,84.05696
2000,84.07612
2040,85.55882
20
