Damage,Time
40,88.76002592
80,147.3198244
120,193.1463496
160,275.0533676
200,310.094064
240,357.881772
280,404.549508
320,442.470196
360,468.896928
400,494.563616
440,517.803264
480,544.815788
520,580.880824
560,610.2663
600,634.50534
640,665.45016
680,694.101784
720,707.634292
760,743.49878
800,777.070048
840,797.068844
880,823.107256
920,841.253088
960,857.17214
1000,885.86414
1040,912.090108
1080,933.675724
1120,959.222272
1160,984.289812
1200,1000.943548
1240,1024.251092
1280,1047.025732
1320,1068.545564
1360,1097.374256
1400,1116.482544
1440,1139.777652
1480,1165.553232
1520,1183.515144
1560,1199.156812
1600,1213.438484
1640,1228.907036
1680,1239.734804
1720,1267.23144
1760,1284.22008
1800,1297.5816
1840,1319.77108
1880,1339.20016
1920,1349.38792
1960,1364.18968
2000,1396.9272
2040,1412.42228
2080,1424.97072
2120,1445.47992
2160,1463.72188
2200,1475.33664
2240,1490.87192
2280,1511.16784
2320,1531.27676
2360,1554.15972
2400,1572.56184
2440,1589.08404
2480,1601.5788
2520,1621.83464
2560,1633.40892
2600,1651.8112
2640,1663.99928
2680,1677.49424
2720,1694.00288
2760,1711.45848
2800,1725.44512
2840,1736.59252
2880,1748.16716
2920,1758.8884
2960,1779.11752
3000,1794.7458
3040,1804.06676
3080,1817.86832
3120,1827.49616
3160,1840.5638
3200,1861.766
3240,1870.74
3280,1879.95424
3320,1892.15372
3360,1904.40624
3400,1915.42064
3440,1928.5412
3480,1958.56428
3520,1967.9382
3560,1974.72472
3600,1987.8058
3640,1999.93824
3680,2011.27196
3720,2015.672
3760,2022.619
3800,2035.045
3840,2047.6964
3880,2054.31
3920,2075.0958
3960,2093.494
4000,2101.89348
4040,2117.09204
4080,2136.516
4120,2154.56568
4160,2164.19104
4200,2173.20412
4240,2183.8152
4280,2199.33208
4320,2211.5318
4360,2216.79728
4400,2231.78152
4440,2247.77796
4480,2264.52344
4520,2272.98844
4560,2280.18664
4600,2291.86448
4640,2299.54276
4680,2306.0878
4720,2320.91144
4760,2334.52332
