KillCounter,KillTime
0,0
1,196.186338
2,167.8264256
3,111.7599028
4,79.9867
5,90.640064
6,74.4533804
7,91.2266728
8,62.0133368
9,78.2533784
10,69.6266928
11,79.2933648
12,77.0801
13,48.906668
14,52.7066564
15,66.2399904
16,50.7733404
17,67.0933656
18,58.4266224
19,69.8133148
20,52.586662
21,58.1866608
22,47.5866948
23,49.1200272
24,45.1200124
25,41.7733424
26,47.2666636
27,50.8532964
28,40.5466764
29,38.2000072
30,55.2267092
31,49.3600004
32,38.8000088
33,44.0133388
34,46.6666084
35,43.4266724
36,36.0000036
37,46.4133496
38,45.69335796
39,51.34665476
40,39.9866272
41,48.5066784
42,50.880012
43,32.3333312
44,35.30668624
45,48.0266768
46,52.4266748
47,39.28002588
48,49.293338
49,43.9466932
50,40.8933508
51,44.3999952
52,63.4533
53,34.506674
54,36.78667196
55,35.59999156
56,49.81333596
57,38.0266856
58,37.5200236
59,31.30666916
60,46.6533692
61,44.5733664
62,42.3200196
63,51.52001444
64,44.8267068
65,48.44002884
66,33.49335
67,49.9867
68,45.15997484
69,45.9200344
70,47.8933808
71,31.3066708
72,45.9867116
73,45.5466992
74,46.45336868
75,46.02668744
76,42.94667756
77,31.800016
78,47.7600356
79,40.89335628
80,46.69337864
81,34.65335476
82,44.4266628
83,36.64001836
84,30.6933296
85,44.573346
86,32.746676
87,41.3866928
88,29.4933288
89,43.06669804
90,33.5733524
91,33.7866704
92,45.186664
93,42.13336124
94,37.2000116
95,29.38666588
96,44.1200292
97,36.2666724
98,41.93335084
99,42.1999832
100,25.1999992
101,36.8666768
102,30.04000676
103,35.29337188
104,40.5466992
105,36.8000036
106,29.973338
107,32.813328
108,34.493338
109,40.2533408
110,44.893368
111,37.8800368
112,55.6533276
113,36.6799692
114,37.3333492
115,34.960014
116,32.63999276
117,29.8399964
118,28.86666064
119,27.2666648
120,42.1333428
121,41.53334464
122,36.6133332
123,29.4266736
124,29.1866532
125,29.1600108
126,36.7199936
127,39.4533484
128,31.44000476
129,33.30666244
130,34.6400288
131,28.5999936
132,30.9999864
133,26.16000036
134,33.6933396
135,30.0533548
136,40.9600124
137,26.5733328
138,41.0133456
139,30.9066704
140,31.0000144
141,26.1333304
142,27.4933284
143,32.93333564
144,32.64001032
145,25.519994
146,27.1200024
147,34.3866652
148,25.3200068
149,24.91999124
150,37.4400132
151,28.6133324
152,33.2800092
153,29.73333004
154,33.3733384
155,27.9466708
156,25.05332876
157,33.6000048
158,21.9333352
159,21.71999936
160,28.5999876
161,25.97332276
162,28.07999316
163,34.49333196
164,24.6266676
165,39.8799492
166,30.49333196
167,26.57333748
168,27.26666108
169,29.0799928
170,23.5733276
171,26.466676
172,28.13332916
173,22.7733288
174,26.61332844
175,24.4266588
176,27.0533352
177,26.8399944
178,26.75999604
179,39.7600132
180,36.0399828
181,43.386704
182,28.6666796
183,24.0799968
184,21.87999864
185,29.7066596
186,20.65333388
187,26.0666596
188,25.2400116
189,23.97333176
190,30.4933384
191,30.840008
192,31.0533236
193,25.0800092
194,25.213334
195,21.46666372
196,22.2933304
197,27.7866576
198,25.3199968
199,26.0533484
200,24.90666204
201,26.04000156
202,28.17334
203,27.7599956
204,29.8400048
205,24.9199904
206,22.89333564
207,26.359996
208,28.1466824
209,34.10669156
210,26.5199924
211,21.18666748
212,25.4799952
213,22.86666956
214,23.96000496
215,26.2399932
216,25.3466572
217,30.7333328
218,27.2133324
219,30.29331984
220,22.36000244
221,27.346676
222,24.04000476
223,29.2399904
224,20.8399994
225,34.30669776
226,25.799998
227,29.6399952
228,22.9733336
229,30.1066544
230,24.9466652
231,24.01333504
232,26.4266748
233,23.89333816
234,23.40000676
235,24.46667
236,24.05334176
237,27.12
238,27.1866696
239,22.95999676
240,29.5600068
241,29.7066784
242,22.1066676
243,24.4133316
244,26.733338
245,26.8666616
246,21.8800016
247,21.38666296
248,25.73332548
249,23.9066732
250,28.8399952
251,25.70666608
252,21.29333396
253,25.813348
254,24.1599928
255,23.5466756
256,26.0400052
257,21.9066712
258,26.0533428
259,24.2266624
260,23.9866672
261,25.79999644
262,33.4800076
263,23.7466672
264,26.0266588
265,20.8266656
266,25.5866632
267,34.0400168
268,23.6933336
269,24.94667904
270,28.80001064
271,27.25333676
272,26.9866632
273,30.52001964
274,21.333336
275,27.58666328
276,24.1733368
277,24.9866596
278,25.4933364
279,27.62665856
280,22.61333476
281,27.3599952
282,23.4266612
283,24.48000796
284,27.240004
285,22.24000036
286,26.8800096
287,25.9733328
288,25.05333996
289,21.6399976
290,26.34668036
291,24.16
292,28.1866636
293,24.5733296
294,24.1999964
295,20.733334
296,29.599992
297,23.080002
298,25.49332648
299,18.56
300,27.17334
301,29.4400048
302,26.76001276
303,26.09332904
304,27.5066592
305,26.7599944
306,22.46666896
307,27.25332948
308,27.1733352
309,24.706662
310,21.4399996
311,26.0800076
312,20.53333532
313,29.95999656
314,27.9600108
315,25.3199988
316,24.17333436
317,26.30666484
318,24.54666044
319,48.14687708
320,23.2933312
321,21.373335
322,21.7466672
323,31.1466776
324,21.7866692
325,22.10666388
326,21.9866668
327,27.1199944
328,24.6533384
329,21.07999956
330,28.43999532
331,23.95999996
332,23.2133348
333,25.46666596
334,23.6133292
335,19.04000188
336,22.99999756
337,33.3866708
338,24.51999708
339,25.1066688
340,25.1866692
341,23.5199968
342,20.5333292
343,28.52000116
344,22.74666
345,28.4666732
346,25.42666804
347,28.2666588
348,19.91999868
349,24.7333316
350,23.77333436
351,22.333336
352,22.773335
353,25.0933292
354,25.06667124
355,22.266674
356,29.8133056
357,31.9200104
358,26.3733408
359,26.3733372
360,28.5199972
361,22.31999524
362,25.6933316
363,23.96001348
364,22.54666516
365,23.30666104
366,22.96000196
367,21.0933312
368,21.29333564
369,29.6666536
370,23.89332996
371,21.90666348
372,18.45333316
373,21.293334
374,23.64000024
375,21.26666676
376,39.08022484
377,22.1333332
378,20.94667204
379,19.60000236
380,28.21333668
381,26.9866644
382,19.6133296
383,21.0533344
384,22.2933352
385,23.5599976
386,23.86667196
387,28.4133432
388,22.6533276
389,22.89332916
390,23.026662
391,27.30665968
392,20.0133276
393,22.4399976
394,23.4666628
395,21.8666688
396,21.40000036
397,17.2399996
398,23.8399944
399,26.71999988
400,20.1066644
401,18.3599988
402,20.33333644
403,23.760002
404,31.67996076
405,24.2799992
406,25.1333328
407,29.720012
408,22.1600004
409,23.400002
410,18.253334
411,21.9733344
412,24.04000452
413,21.56000116
414,25.333328
415,19.6533284
416,25.786666
417,24.23999792
418,20.2133308
419,19.8266676
420,22.54666796
421,19.973336
422,21.41333116
423,20.0133308
424,20.7600024
425,21.97333156
426,20.13333204
427,20.05333428
428,23.6000008
429,25.6533324
430,21.1200036
431,20.3999988
432,19.26666836
433,24.47999784
434,27.26666704
435,26.05333064
436,23.8533292
437,19.6000016
438,20.66666596
439,27.73333472
440,20.34666756
441,19.46666616
442,21.8800004
443,24.46666732
444,20.02666796
445,25.5999984
446,22.66665904
447,22.3466644
448,28.613326
449,22.53333916
450,19.386664
451,28.2800092
452,18.759998
453,23.5066592
454,27.25332644
455,23.12
456,26.36000644
457,21.9199984
458,21.013334
459,26.5866652
460,20.026664
461,20.8133368
462,29.9600096
463,21.4000012
464,20.81333444
465,22.05333676
466,20.653332
467,27.47999976
468,31.1599944
469,28.01333192
470,20.1066692
