KillCounter,KillTime
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
1,39.75168
1,43.39721
1,49.45602
1,51.06299
1,51.93216
1,57.03196
1,59.54272
1,59.54272
1,60.37478
1,69.30587
1,69.69226
1,71.39787
1,79.12289
1,79.98161
1,80.45142
1,87.88974
2,20.58051
1,93.4685
2,37.87599
1,101.832
1,112.3066
2,60.75006
2,77.00345
2,65.58276
1,125.6272
2,75.53263
2,57.83781
2,66.4558
2,32.71726
3,69.70161
2,122.8528
2,130.4287
4,34.59996
2,151.0591
2,142.2042
3,121.2373
3,98.82788
2,135.1361
3,86.58352
2,110.9546
3,66.64027
2,154.891
3,101.1634
3,23.40286
3,91.52262
3,127.4431
4,34.71043
3,102.6363
2,206.5485
3,76.72787
2,170.6264
3,84.96955
4,59.07967
3,69.63245
4,27.55629
2,170.3095
4,48.91344
3,69.45997
3,61.75045
4,48.72611
4,29.80697
4,62.37173
4,68.78199
3,33.36294
2,231.3623
3,84.94592
5,39.48037
4,32.75861
3,68.13718
4,102.8892
4,77.44331
5,57.9818
3,56.43006
5,43.00621
4,73.3397
5,137.2956
4,28.99901
5,69.38852
5,67.04531
5,60.67515
4,44.94582
6,45.40149
4,65.95444
5,119.9922
4,98.06963
3,66.18658
5,91.91087
5,32.5159
4,58.80697
4,110.3531
6,57.09418
6,68.12621
6,69.44326
5,73.57031
6,27.79895
6,61.82462
5,97.70318
6,35.44171
6,63.4227
5,69.93055
5,88.69192
5,65.14249
5,105.3285
5,51.51915
7,90.78782
7,53.69904
6,94.44292
7,59.45246
7,42.80048
6,36.82199
6,104.393
6,44.85719
6,37.69034
4,101.1148
6,80.1738
7,64.95196
7,94.86521
6,64.65339
7,80.85853
8,42.02703
7,34.8441
8,31.7921
7,114.0566
7,41.39291
8,72.08582
9,29.67284
5,53.73618
6,111.2865
8,91.92129
9,28.42565
6,125.6513
5,170.8668
7,90.50184
8,59.26228
7,59.7225
5,160.1343
7,99.53622
7,32.71178
7,100.6602
8,50.74873
7,31.46354
10,43.45009
8,61.1889
9,33.79036
8,84.01752
8,31.43012
8,17.14955
6,63.98082
6,55.20115
8,139.5305
9,48.69324
9,86.19544
10,76.1293
8,52.63325
8,104.5663
9,59.06629
11,66.24898
9,60.71775
7,176.4878
8,83.23019
7,76.97601
6,117.
